camera_id,vehicle_qty,total_CO₂,total_NOx,total_CO,total_P
1001,0.0,0.0,0.0,0.0,0.0
1002,0.0,0.0,0.0,0.0,0.0
1003,1.0,150.0,0.06,1.0,0.0
1004,0.0,0.0,0.0,0.0,0.0
1005,3.0,450.0,0.18,3.0,0.01
1006,0.0,0.0,0.0,0.0,0.0
1701,1.0,150.0,0.06,1.0,0.0
1702,0.0,0.0,0.0,0.0,0.0
1703,2.0,1722.0,0.54,6.27,0.01
1704,0.0,0.0,0.0,0.0,0.0
1705,4.0,2100.0,0.28,6.54,0.02
1706,2.0,300.0,0.12,2.0,0.01
1707,1.0,150.0,0.06,1.0,0.0
1709,1.0,900.0,0.08,2.27,0.0
1711,1.0,150.0,0.06,1.0,0.0
2701,0.0,0.0,0.0,0.0,0.0
2702,0.0,0.0,0.0,0.0,0.0
2703,0.0,0.0,0.0,0.0,0.0
2704,0.0,0.0,0.0,0.0,0.0
2705,0.0,0.0,0.0,0.0,0.0
2706,6.0,900.0,0.36,6.0,0.03
2707,2.0,300.0,0.12,2.0,0.01
2708,1.0,900.0,0.08,2.27,0.0
3702,0.0,0.0,0.0,0.0,0.0
3704,1.0,900.0,0.08,2.27,0.0
3705,0.0,0.0,0.0,0.0,0.0
3793,1.0,150.0,0.06,1.0,0.0
3795,0.0,0.0,0.0,0.0,0.0
3796,0.0,0.0,0.0,0.0,0.0
3797,0.0,0.0,0.0,0.0,0.0
3798,0.0,0.0,0.0,0.0,0.0
4701,1.0,150.0,0.06,1.0,0.0
4702,0.0,0.0,0.0,0.0,0.0
4703,1.0,150.0,0.06,1.0,0.0
4704,0.0,0.0,0.0,0.0,0.0
4705,1.0,150.0,0.06,1.0,0.0
4706,3.0,1200.0,0.2,4.27,0.01
4707,0.0,0.0,0.0,0.0,0.0
4708,0.0,0.0,0.0,0.0,0.0
4709,0.0,0.0,0.0,0.0,0.0
4710,3.0,1200.0,0.2,4.27,0.01
4712,0.0,0.0,0.0,0.0,0.0
4713,0.0,0.0,0.0,0.0,0.0
4714,0.0,0.0,0.0,0.0,0.0
4716,0.0,0.0,0.0,0.0,0.0
4798,0.0,0.0,0.0,0.0,0.0
4799,0.0,0.0,0.0,0.0,0.0
5794,2.0,972.0,0.52,5.0,0.01
5795,3.0,450.0,0.18,3.0,0.01
5797,0.0,0.0,0.0,0.0,0.0
5798,1.0,150.0,0.06,1.0,0.0
5799,1.0,150.0,0.06,1.0,0.0
6701,2.0,300.0,0.12,2.0,0.01
6703,0.0,0.0,0.0,0.0,0.0
6704,0.0,0.0,0.0,0.0,0.0
6705,1.0,150.0,0.06,1.0,0.0
6706,4.0,600.0,0.24,4.0,0.02
6708,0.0,0.0,0.0,0.0,0.0
6710,4.0,600.0,0.24,4.0,0.02
6711,2.0,300.0,0.12,2.0,0.01
6712,1.0,150.0,0.06,1.0,0.0
6713,0.0,0.0,0.0,0.0,0.0
6714,1.0,822.0,0.46,4.0,0.01
6715,0.0,0.0,0.0,0.0,0.0
6716,0.0,0.0,0.0,0.0,0.0
7791,0.0,0.0,0.0,0.0,0.0
7793,0.0,0.0,0.0,0.0,0.0
7794,1.0,150.0,0.06,1.0,0.0
7795,0.0,0.0,0.0,0.0,0.0
7796,1.0,900.0,0.08,2.27,0.0
7797,2.0,300.0,0.12,2.0,0.01
7798,4.0,600.0,0.24,4.0,0.02
8701,0.0,0.0,0.0,0.0,0.0
8702,0.0,0.0,0.0,0.0,0.0
8704,1.0,150.0,0.06,1.0,0.0
8706,0.0,0.0,0.0,0.0,0.0
9701,2.0,1050.0,0.14,3.27,0.01
9702,1.0,900.0,0.08,2.27,0.0
9703,0.0,0.0,0.0,0.0,0.0
9704,0.0,0.0,0.0,0.0,0.0
9705,1.0,150.0,0.06,1.0,0.0
9706,2.0,300.0,0.12,2.0,0.01
1501,0.0,0.0,0.0,0.0,0.0
1502,0.0,0.0,0.0,0.0,0.0
1503,0.0,0.0,0.0,0.0,0.0
1504,0.0,0.0,0.0,0.0,0.0
1505,0.0,0.0,0.0,0.0,0.0
